folder1,folder2,nClonePairs
auth,rowio,0
sample,index,0
lib,navigator,0
pool,server,0
navigator,map,0
rights,map,0
scriptio,types,0
test,scriptio,0
util,dbinfo,0
index,scriptio,0
tar,navigator,0
map,server,0
sqltool,preprocessor,0
server,auth,0
sqltool,test,0
sqltool,tar,0
result,sample,0
dbinfo,pool,0
sample,cmdline,0
server,util,0
result,server,0
pool,sample,0
pool,result,0
map,sample,0
util,persist,7
hsqldb,navigator,0
server,dbinfo,0
persist,test,1
sample,lib,0
auth,jdbc,0
map,result,0
util,auth,0
map,rights,0
auth,cmdline,0
rowio,dbinfo,0
navigator,hsqldb,0
hsqldb,preprocessor,0
cmdline,pool,0
pool,rights,0
sample,rowio,0
auth,index,0
rowio,util,0
hsqldb,test,0
hsqldb,tar,0
map,sqltool,0
scriptio,persist,0
server,cmdline,4
pool,sqltool,0
index,types,0
test,types,0
tar,test,0
rights,types,1
result,rights,0
preprocessor,pool,0
persist,map,0
lib,preprocessor,0
rowio,auth,0
tar,preprocessor,0
lib,tar,0
lib,test,0
result,sqltool,0
sqltool,navigator,0
lib,persist,4
dbinfo,dbinfo,46
hsqldb,rights,2
auth,lib,0
sample,jdbc,0
types,sample,0
types,result,0
scriptio,hsqldb,0
dbinfo,rowio,0
rights,persist,0
util,preprocessor,0
cmdline,index,0
auth,pool,0
navigator,persist,0
sqltool,dbinfo,0
util,test,0
preprocessor,lib,0
util,tar,0
dbinfo,jdbc,0
rights,scriptio,0
preprocessor,cmdline,0
rowio,navigator,0
index,map,0
preprocessor,index,0
navigator,scriptio,0
tar,cmdline,8
hsqldb,dbinfo,1
server,tar,0
server,test,0
jdbc,rights,0
server,preprocessor,0
sqltool,auth,0
cmdline,lib,0
persist,types,0
types,server,0
jdbc,sqltool,0
navigator,types,0
dbinfo,index,0
cmdline,cmdline,42
test,map,1
index,index,38
jdbc,sample,0
lib,auth,0
persist,scriptio,0
tar,auth,0
jdbc,result,0
rowio,preprocessor,0
scriptio,map,0
server,navigator,0
rowio,test,0
hsqldb,util,0
rowio,tar,0
dbinfo,cmdline,0
sample,pool,0
preprocessor,jdbc,0
cmdline,rowio,0
tar,dbinfo,0
hsqldb,auth,0
lib,dbinfo,0
test,hsqldb,0
tar,util,0
dbinfo,lib,0
util,navigator,0
types,sqltool,0
cmdline,jdbc,0
preprocessor,rowio,0
cmdline,preprocessor,0
persist,server,0
util,index,0
sample,dbinfo,0
hsqldb,pool,0
util,sqltool,3
server,lib,0
sqltool,util,3
cmdline,test,0
sample,util,0
util,cmdline,0
rights,hsqldb,2
navigator,rights,0
server,index,0
lib,pool,0
persist,result,0
tar,pool,0
persist,sample,0
rowio,jdbc,0
map,test,1
preprocessor,tar,0
preprocessor,test,0
map,hsqldb,0
navigator,sqltool,0
jdbc,util,63
dbinfo,navigator,0
pool,hsqldb,0
jdbc,scriptio,0
rights,sqltool,0
sample,auth,0
util,rowio,0
types,persist,0
auth,dbinfo,0
persist,sqltool,0
dbinfo,preprocessor,0
rights,result,0
rowio,cmdline,0
result,map,0
navigator,result,0
dbinfo,hsqldb,1
navigator,navigator,11
rowio,index,0
persist,rights,0
scriptio,scriptio,2
preprocessor,navigator,0
auth,util,0
jdbc,types,0
dbinfo,test,0
dbinfo,tar,0
rights,sample,0
navigator,sample,0
sqltool,pool,0
persist,preprocessor,2
server,rowio,0
navigator,server,0
types,scriptio,0
cmdline,navigator,0
pool,map,0
rights,server,0
rowio,lib,0
persist,hsqldb,5
cmdline,util,0
hsqldb,result,1
hsqldb,rowio,0
preprocessor,auth,0
tar,jdbc,0
index,sqltool,0
hsqldb,hsqldb,497
test,sqltool,0
cmdline,dbinfo,0
sqltool,cmdline,0
dbinfo,persist,1
index,hsqldb,2
sample,tar,0
index,rights,0
rowio,pool,0
test,rights,0
scriptio,sample,0
result,types,0
scriptio,result,0
sample,preprocessor,0
jdbc,map,0
sqltool,index,0
types,hsqldb,15
cmdline,auth,0
persist,jdbc,9
sqltool,lib,0
pool,types,0
auth,navigator,0
scriptio,server,0
tar,rowio,0
map,map,33
preprocessor,dbinfo,0
preprocessor,util,0
lib,rowio,0
map,types,0
types,types,102
types,rights,1
types,map,0
test,jdbc,1
jdbc,test,1
hsqldb,cmdline,0
auth,preprocessor,0
result,persist,0
test,server,0
map,scriptio,0
pool,scriptio,0
tar,lib,0
util,pool,0
dbinfo,util,0
auth,test,0
auth,tar,0
index,server,0
sqltool,rowio,0
lib,index,0
lib,cmdline,0
lib,util,7
pool,persist,0
dbinfo,auth,0
preprocessor,persist,2
index,result,0
sample,navigator,0
test,result,0
tar,index,0
index,sample,0
result,scriptio,0
sqltool,jdbc,0
map,persist,0
scriptio,sqltool,0
server,pool,0
scriptio,rights,0
cmdline,rights,0
types,jdbc,0
map,pool,0
tar,hsqldb,0
test,util,0
preprocessor,preprocessor,23
util,scriptio,0
dbinfo,server,0
index,dbinfo,0
jdbc,lib,9
cmdline,sqltool,0
index,util,0
server,persist,0
auth,auth,2
test,dbinfo,0
dbinfo,result,0
preprocessor,rights,0
jdbc,cmdline,0
rights,preprocessor,0
lib,types,1
types,rowio,0
rowio,types,0
persist,navigator,0
preprocessor,sqltool,0
navigator,preprocessor,0
test,auth,0
index,auth,0
sqltool,map,0
jdbc,index,0
server,scriptio,0
navigator,tar,0
navigator,test,0
rights,tar,0
dbinfo,sample,0
result,pool,0
rights,test,0
lib,map,0
dbinfo,sqltool,0
server,types,0
rights,navigator,0
dbinfo,rights,0
test,persist,1
index,persist,1
preprocessor,sample,0
persist,tar,0
tar,map,0
scriptio,auth,0
preprocessor,result,0
rowio,scriptio,0
sqltool,hsqldb,0
cmdline,sample,0
types,lib,1
cmdline,result,0
jdbc,rowio,0
types,cmdline,0
server,server,24
preprocessor,server,0
rowio,persist,0
scriptio,util,0
util,types,0
types,index,0
hsqldb,map,0
scriptio,dbinfo,0
tar,types,0
pool,pool,3
sqltool,scriptio,0
test,preprocessor,0
map,rowio,0
auth,server,0
test,tar,0
sample,rights,0
rights,auth,0
sample,sqltool,0
rights,rights,50
index,preprocessor,0
server,map,0
scriptio,navigator,0
result,jdbc,0
index,test,0
index,tar,0
navigator,auth,0
pool,rowio,0
hsqldb,index,2
rowio,rowio,21
hsqldb,types,15
auth,result,0
auth,sample,0
util,map,0
lib,lib,388
persist,dbinfo,1
rowio,hsqldb,0
result,rowio,0
util,jdbc,63
test,test,300
rights,util,0
types,pool,0
navigator,util,0
navigator,dbinfo,0
sqltool,persist,0
map,jdbc,0
rights,dbinfo,0
util,util,104
pool,cmdline,0
map,index,0
hsqldb,scriptio,0
result,lib,0
sample,server,0
pool,index,0
auth,rights,0
result,result,45
tar,persist,0
auth,sqltool,0
server,hsqldb,0
map,cmdline,0
scriptio,preprocessor,0
result,index,0
sqltool,types,0
lib,scriptio,0
persist,auth,0
test,navigator,0
index,navigator,0
result,cmdline,0
sample,sample,0
pool,lib,0
tar,scriptio,0
cmdline,server,4
map,lib,0
util,hsqldb,0
scriptio,test,0
scriptio,tar,0
rowio,map,0
sample,result,0
sqltool,rights,0
jdbc,persist,9
lib,sample,0
persist,lib,4
test,index,0
persist,pool,0
hsqldb,server,0
test,cmdline,0
index,cmdline,0
lib,result,0
hsqldb,jdbc,1
jdbc,auth,0
tar,result,0
tar,sample,0
pool,jdbc,2
sample,scriptio,0
preprocessor,map,0
scriptio,jdbc,0
result,navigator,0
persist,persist,63
auth,types,0
hsqldb,lib,52
jdbc,dbinfo,0
hsqldb,sample,0
util,lib,7
scriptio,rowio,0
pool,navigator,0
cmdline,map,0
lib,server,0
index,lib,0
tar,server,0
map,navigator,0
sample,persist,0
test,lib,0
test,rowio,0
jdbc,server,1
scriptio,lib,0
types,auth,0
hsqldb,sqltool,0
sqltool,server,0
index,rowio,0
pool,test,0
pool,tar,0
map,preprocessor,0
jdbc,jdbc,336
auth,scriptio,0
preprocessor,hsqldb,0
map,tar,0
pool,preprocessor,0
scriptio,index,0
sqltool,result,0
lib,rights,0
result,hsqldb,1
sqltool,sqltool,4
types,dbinfo,0
tar,rights,0
auth,persist,0
tar,sqltool,0
index,jdbc,0
scriptio,cmdline,0
result,preprocessor,0
sample,types,0
lib,sqltool,0
dbinfo,map,0
cmdline,hsqldb,0
rights,pool,0
result,test,0
result,tar,0
sqltool,sample,0
types,util,0
navigator,pool,0
navigator,lib,0
cmdline,scriptio,0
jdbc,pool,2
persist,rowio,0
util,rights,0
rights,lib,0
rowio,server,0
types,navigator,0
lib,jdbc,9
rowio,sample,0
dbinfo,types,0
jdbc,hsqldb,1
auth,hsqldb,0
server,sqltool,0
rights,index,0
cmdline,persist,0
rights,cmdline,0
jdbc,tar,0
server,rights,0
scriptio,pool,0
persist,index,1
navigator,index,0
navigator,cmdline,0
hsqldb,persist,5
rowio,result,0
jdbc,preprocessor,0
preprocessor,scriptio,0
sample,map,0
lib,hsqldb,52
map,util,0
rowio,sqltool,0
result,auth,0
pool,dbinfo,0
preprocessor,types,0
test,pool,0
index,pool,0
dbinfo,scriptio,0
server,sample,0
server,result,0
test,sample,4
persist,cmdline,0
rowio,rights,0
cmdline,tar,8
jdbc,navigator,0
rights,jdbc,0
util,server,0
pool,util,0
persist,util,7
map,dbinfo,0
navigator,jdbc,0
result,dbinfo,0
rights,rowio,0
sample,hsqldb,0
server,jdbc,1
types,preprocessor,0
tar,tar,11
auth,map,0
navigator,rowio,0
pool,auth,0
cmdline,types,0
sample,test,4
types,test,0
types,tar,0
result,util,0
util,sample,0
util,result,0
map,auth,0
